EventID,StudentID,ModuleCode,EventName,EventType,StartWeek,TimeWeekDay,Frequency,Duration,
1,,I58N4S9JNT,Monkey Shaving,Lecture,5,09:00 Mon,Weekly,1,
2,,IMZ4Q7T29L,Sandwich Making,Seminar,14,12:00 Tue,BiWeekly,20,
3,,DW0OLQK86V,Mutually Assured Destruction,Presentation,27,15:00 Thur,Monthly,42,
4,,52XYXCLC7L,Party Planning,Drop-in,8,17:00 Wed,Weekly,32,
5,,I58N4S9JNT,Monkey Shaving2,Lab,23,08:00 Fri,BiWeekly,11,
6,,DW0OLQK86V,Lemon Stealing,Drop-in,16,09:00 Tue,BiWeekly,9,
7,,DW0OLQK86V,Sword Fighting,Lab,7,10:00 Wed,Monthly,2,
8,,IMZ4Q7T29L,Sandwich Making2,Seminar,18,13:00 Mon,Weekly,35,
9,,DW0OLQK86V,House Stealing,Lecture,4,15:00 Tue,Weekly,3,
10,,QAXH6AIRKC,Fake Doctoring,Presentation,1,17:00 Thur,Monthly,22,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
